date;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23
2019-12-16;13.0;19.0;14.0;13.0;7.0;15.0;10.0;15.0;11.0;8.0;15.0;14.0;9.0;6.0;4.0;7.0;3.0;1.0;2.0;6.0;3.0;16.0;12.0;20.0
2019-12-17;9.0;13.0;9.0;9.0;13.0;14.0;11.0;7.0;8.0;13.0;21.0;10.0;12.0;6.0;6.0;5.0;6.0;3.0;6.0;11.0;11.0;10.0;13.0;19.0
2019-12-18;14.0;16.0;17.0;12.0;11.0;18.0;14.0;17.0;9.0;15.0;17.0;12.0;10.0;10.0;10.0;9.0;4.0;5.0;10.0;12.0;11.0;19.0;14.0;13.0
2019-12-19;16.0;8.0;7.0;8.0;11.0;9.0;12.0;9.0;10.0;17.0;5.0;19.0;8.0;7.0;4.0;2.0;1.0;2.0;4.0;4.0;7.0;12.0;12.0;18.0
2019-12-20;13.0;11.0;6.0;9.0;14.0;8.0;11.0;12.0;19.0;22.0;15.0;26.0;8.0;18.0;4.0;2.0;9.0;2.0;4.0;2.0;10.0;5.0;16.0;14.0
2019-12-21;16.0;12.0;11.0;13.0;8.0;15.0;14.0;13.0;10.0;14.0;8.0;14.0;15.0;13.0;13.0;6.0;10.0;13.0;5.0;11.0;13.0;18.0;23.0;22.0
2019-12-22;21.0;15.0;17.0;17.0;29.0;11.0;23.0;20.0;28.0;34.0;24.0;22.0;17.0;19.0;16.0;12.0;9.0;9.0;12.0;12.0;15.0;18.0;31.0;19.0
2019-12-23;22.0;40.0;27.0;23.0;29.0;22.0;24.0;25.0;25.0;23.0;47.0;18.0;17.0;15.0;10.0;9.0;3.0;3.0;5.0;9.0;20.0;18.0;5.0;12.0
2019-12-24;8.0;13.0;22.0;14.0;8.0;9.0;14.0;18.0;24.0;18.0;16.0;13.0;10.0;6.0;7.0;4.0;7.0;4.0;4.0;8.0;3.0;10.0;16.0;18.0
2019-12-25;12.0;18.0;14.0;12.0;12.0;15.0;11.0;7.0;19.0;22.0;16.0;14.0;12.0;12.0;3.0;3.0;4.0;3.0;3.0;5.0;4.0;10.0;8.0;8.0
2019-12-26;14.0;11.0;9.0;12.0;10.0;27.0;21.0;14.0;16.0;15.0;12.0;17.0;14.0;15.0;10.0;12.0;5.0;15.0;10.0;9.0;14.0;14.0;22.0;33.0
2019-12-27;21.0;23.0;20.0;28.0;26.0;26.0;18.0;28.0;23.0;20.0;28.0;31.0;14.0;15.0;11.0;6.0;6.0;8.0;14.0;7.0;10.0;12.0;18.0;40.0
2019-12-28;20.0;23.0;25.0;28.0;22.0;31.0;21.0;29.0;33.0;32.0;20.0;24.0;19.0;11.0;7.0;7.0;4.0;7.0;10.0;9.0;14.0;23.0;23.0;40.0
2019-12-29;22.0;27.0;20.0;26.0;28.0;30.0;19.0;20.0;24.0;16.0;22.0;17.0;12.0;12.0;10.0;4.0;9.0;9.0;12.0;8.0;14.0;12.0;26.0;18.0
2019-12-30;18.0;20.0;26.0;24.0;23.0;27.0;25.0;31.0;23.0;33.0;27.0;26.0;12.0;12.0;13.0;11.0;6.0;6.0;5.0;12.0;14.0;18.0;25.0;18.0
2019-12-31;16.0;27.0;13.0;15.0;17.0;20.0;26.0;28.0;20.0;26.0;28.0;25.0;16.0;7.0;6.0;6.0;9.0;6.0;5.0;11.0;11.0;11.0;26.0;20.0
2020-01-01;25.0;22.0;24.0;20.0;22.0;31.0;15.0;11.0;13.0;16.0;14.0;9.0;15.0;15.0;8.0;11.0;5.0;11.0;7.0;7.0;9.0;18.0;19.0;15.0
2020-01-02;34.0;16.0;22.0;19.0;27.0;13.0;33.0;22.0;28.0;32.0;22.0;17.0;17.0;15.0;12.0;6.0;10.0;4.0;5.0;13.0;68.0;69.0;48.0;10.0
2020-01-03;19.0;36.0;24.0;16.0;24.0;34.0;25.0;17.0;25.0;15.0;12.0;5.0;15.0;7.0;13.0;8.0;7.0;10.0;8.0;34.0;12.0;54.0;33.0;55.0
2020-01-04;46.0;67.0;47.0;65.0;55.0;55.0;38.0;21.0;31.0;50.0;51.0;38.0;31.0;37.0;23.0;20.0;17.0;8.0;12.0;11.0;18.0;18.0;25.0;21.0
2020-01-05;18.0;31.0;30.0;25.0;27.0;27.0;18.0;27.0;22.0;22.0;28.0;11.0;23.0;19.0;14.0;11.0;5.0;11.0;1.0;17.0;17.0;15.0;20.0;15.0
2020-01-10;10.0;24.0;25.0;25.0;36.0;18.0;28.0;25.0;27.0;23.0;25.0;31.0;21.0;18.0;4.0;2.0;7.0;10.0;8.0;9.0;18.0;15.0;23.0;23.0
2020-01-11;22.0;30.0;13.0;30.0;26.0;39.0;27.0;26.0;23.0;23.0;28.0;25.0;17.0;11.0;4.0;11.0;6.0;12.0;5.0;36.0;22.0;27.0;58.0;24.0
2020-01-12;32.0;22.0;36.0;30.0;33.0;29.0;27.0;21.0;22.0;19.0;23.0;23.0;14.0;9.0;14.0;4.0;2.0;4.0;78.0;7.0;6.0;15.0;29.0;28.0
2020-01-13;22.0;25.0;30.0;25.0;26.0;23.0;28.0;21.0;24.0;25.0;26.0;16.0;11.0;20.0;10.0;6.0;3.0;2.0;7.0;10.0;5.0;13.0;18.0;58.0
2020-01-14;26.0;42.0;34.0;25.0;28.0;23.0;22.0;23.0;18.0;27.0;41.0;33.0;38.0;30.0;21.0;22.0;4.0;8.0;12.0;5.0;7.0;13.0;21.0;26.0
2020-01-15;5.0;22.0;36.0;35.0;42.0;35.0;25.0;12.0;22.0;18.0;17.0;22.0;15.0;15.0;19.0;10.0;4.0;3.0;6.0;8.0;11.0;17.0;14.0;16.0
2020-01-16;18.0;19.0;29.0;29.0;23.0;24.0;18.0;28.0;15.0;13.0;15.0;14.0;11.0;20.0;17.0;6.0;2.0;5.0;3.0;7.0;9.0;7.0;4.0;13.0
2020-01-17;9.0;19.0;19.0;21.0;19.0;18.0;12.0;14.0;9.0;15.0;9.0;15.0;9.0;4.0;5.0;4.0;3.0;5.0;;4.0;3.0;8.0;5.0;9.0
2020-01-18;11.0;8.0;14.0;27.0;17.0;9.0;19.0;10.0;6.0;7.0;15.0;9.0;4.0;6.0;7.0;3.0;;;4.0;8.0;9.0;6.0;5.0;9.0
2020-01-19;10.0;31.0;19.0;42.0;33.0;25.0;24.0;35.0;28.0;24.0;12.0;13.0;19.0;15.0;10.0;9.0;4.0;3.0;1.0;6.0;13.0;8.0;18.0;16.0
2020-01-20;10.0;20.0;18.0;34.0;33.0;31.0;25.0;27.0;23.0;22.0;22.0;18.0;18.0;11.0;8.0;4.0;2.0;4.0;2.0;9.0;9.0;8.0;25.0;12.0
2020-01-21;27.0;23.0;28.0;44.0;25.0;29.0;22.0;34.0;25.0;13.0;16.0;7.0;12.0;12.0;8.0;4.0;2.0;5.0;4.0;10.0;9.0;12.0;17.0;19.0
2020-01-22;14.0;27.0;30.0;30.0;33.0;24.0;17.0;5.0;9.0;6.0;16.0;8.0;12.0;24.0;12.0;6.0;;5.0;10.0;6.0;5.0;13.0;18.0;22.0
2020-01-23;20.0;30.0;25.0;26.0;24.0;19.0;34.0;28.0;26.0;24.0;24.0;20.0;19.0;14.0;3.0;;;2.0;10.0;15.0;42.0;20.0;11.0;11.0
2020-01-29;;;;;;;;;1.0;4.0;7.0;9.0;10.0;4.0;11.0;6.0;3.0;3.0;5.0;6.0;8.0;19.0;9.0;11.0
2020-01-30;11.0;11.0;7.0;8.0;5.0;12.0;4.0;4.0;2.0;7.0;7.0;10.0;11.0;5.0;4.0;4.0;4.0;1.0;6.0;;1.0;4.0;4.0;5.0
2020-01-31;4.0;6.0;4.0;5.0;3.0;2.0;5.0;5.0;6.0;5.0;9.0;11.0;14.0;10.0;7.0;4.0;2.0;;1.0;7.0;9.0;5.0;7.0;11.0
2020-02-01;1.0;2.0;4.0;2.0;2.0;4.0;3.0;;4.0;4.0;11.0;9.0;4.0;5.0;6.0;3.0;2.0;4.0;4.0;3.0;7.0;16.0;11.0;13.0
2020-02-02;18.0;15.0;8.0;3.0;4.0;3.0;5.0;6.0;2.0;11.0;49.0;4.0;6.0;5.0;6.0;4.0;1.0;14.0;5.0;5.0;10.0;7.0;8.0;20.0
2020-02-03;15.0;9.0;12.0;10.0;5.0;3.0;10.0;9.0;4.0;5.0;9.0;14.0;15.0;7.0;6.0;6.0;2.0;2.0;2.0;2.0;6.0;8.0;19.0;20.0
2020-02-04;17.0;9.0;17.0;13.0;3.0;2.0;6.0;2.0;3.0;6.0;6.0;1.0;8.0;2.0;4.0;1.0;2.0;5.0;3.0;4.0;4.0;12.0;7.0;16.0
2020-02-05;24.0;11.0;11.0;11.0;13.0;6.0;4.0;5.0;8.0;11.0;7.0;3.0;10.0;13.0;3.0;3.0;4.0;2.0;1.0;5.0;6.0;7.0;18.0;7.0
2020-02-06;12.0;14.0;11.0;14.0;6.0;6.0;6.0;4.0;7.0;11.0;9.0;4.0;12.0;5.0;1.0;5.0;1.0;3.0;6.0;5.0;3.0;6.0;9.0;6.0
2020-02-07;6.0;12.0;11.0;6.0;5.0;12.0;9.0;12.0;8.0;13.0;20.0;7.0;10.0;8.0;3.0;2.0;5.0;3.0;5.0;2.0;7.0;12.0;13.0;13.0
2020-02-08;11.0;11.0;7.0;8.0;5.0;6.0;6.0;4.0;3.0;4.0;3.0;6.0;7.0;3.0;3.0;;1.0;3.0;2.0;2.0;4.0;10.0;7.0;15.0
2020-02-09;10.0;6.0;11.0;4.0;7.0;4.0;1.0;1.0;6.0;5.0;3.0;5.0;11.0;8.0;2.0;5.0;;1.0;1.0;;10.0;7.0;13.0;10.0
2020-02-10;14.0;12.0;11.0;10.0;11.0;12.0;11.0;9.0;8.0;1.0;6.0;11.0;12.0;10.0;5.0;5.0;3.0;4.0;11.0;59.0;14.0;5.0;17.0;16.0
2020-02-11;16.0;11.0;16.0;8.0;2.0;3.0;;3.0;3.0;4.0;2.0;7.0;6.0;1.0;2.0;6.0;4.0;5.0;5.0;5.0;12.0;9.0;8.0;10.0
2020-02-12;13.0;14.0;13.0;17.0;10.0;13.0;9.0;10.0;16.0;20.0;35.0;21.0;18.0;6.0;17.0;3.0;2.0;1.0;6.0;3.0;3.0;13.0;15.0;17.0
2020-02-13;15.0;17.0;11.0;9.0;9.0;9.0;9.0;14.0;14.0;19.0;12.0;13.0;11.0;16.0;8.0;2.0;2.0;4.0;3.0;3.0;5.0;6.0;9.0;8.0
2020-02-14;13.0;12.0;7.0;5.0;7.0;3.0;2.0;3.0;1.0;;3.0;10.0;10.0;5.0;6.0;5.0;5.0;1.0;3.0;8.0;7.0;7.0;12.0;12.0
2020-02-15;12.0;4.0;9.0;9.0;4.0;6.0;6.0;10.0;5.0;10.0;10.0;14.0;6.0;6.0;2.0;8.0;2.0;1.0;3.0;2.0;10.0;9.0;5.0;13.0
2020-02-16;15.0;23.0;16.0;10.0;13.0;8.0;8.0;12.0;14.0;13.0;9.0;12.0;14.0;13.0;7.0;;1.0;2.0;4.0;2.0;11.0;10.0;10.0;13.0
2020-02-17;4.0;15.0;16.0;12.0;7.0;7.0;17.0;14.0;12.0;13.0;18.0;15.0;12.0;9.0;7.0;7.0;3.0;2.0;5.0;7.0;4.0;7.0;13.0;10.0
2020-02-18;11.0;15.0;11.0;13.0;11.0;5.0;13.0;9.0;6.0;9.0;6.0;5.0;10.0;11.0;9.0;5.0;7.0;4.0;6.0;3.0;7.0;7.0;6.0;11.0
2020-02-19;12.0;10.0;14.0;9.0;8.0;10.0;12.0;10.0;14.0;10.0;18.0;5.0;14.0;18.0;13.0;8.0;5.0;6.0;4.0;6.0;15.0;36.0;8.0;9.0
2020-02-25;11.0;16.0;14.0;14.0;8.0;6.0;10.0;10.0;14.0;7.0;11.0;14.0;14.0;10.0;5.0;4.0;2.0;2.0;3.0;1.0;3.0;5.0;8.0;7.0
2020-02-26;14.0;11.0;5.0;9.0;7.0;5.0;3.0;10.0;11.0;6.0;10.0;16.0;7.0;8.0;4.0;1.0;4.0;1.0;1.0;8.0;3.0;4.0;8.0;9.0
2020-02-27;9.0;8.0;9.0;7.0;9.0;11.0;8.0;11.0;10.0;4.0;19.0;9.0;19.0;6.0;3.0;3.0;4.0;4.0;2.0;3.0;7.0;7.0;12.0;15.0
2020-02-28;10.0;12.0;8.0;3.0;7.0;10.0;7.0;11.0;9.0;7.0;7.0;10.0;12.0;4.0;3.0;2.0;2.0;2.0;4.0;4.0;2.0;6.0;7.0;10.0
2020-02-29;9.0;17.0;11.0;5.0;11.0;5.0;5.0;6.0;9.0;4.0;12.0;7.0;5.0;5.0;3.0;3.0;1.0;4.0;4.0;1.0;4.0;9.0;8.0;6.0
2020-03-01;13.0;7.0;5.0;7.0;4.0;2.0;8.0;5.0;7.0;11.0;11.0;7.0;3.0;4.0;2.0;2.0;3.0;;;;1.0;2.0;2.0;8.0
2020-03-02;7.0;7.0;11.0;1.0;3.0;4.0;11.0;7.0;7.0;12.0;10.0;11.0;7.0;6.0;6.0;;5.0;4.0;1.0;1.0;4.0;8.0;11.0;10.0
2020-03-03;10.0;18.0;12.0;9.0;8.0;8.0;11.0;11.0;11.0;10.0;12.0;12.0;12.0;4.0;6.0;5.0;3.0;5.0;16.0;18.0;42.0;24.0;10.0;10.0
2020-03-04;14.0;9.0;12.0;11.0;12.0;12.0;3.0;15.0;12.0;27.0;36.0;24.0;13.0;18.0;3.0;1.0;;1.0;;3.0;3.0;4.0;15.0;17.0
2020-03-05;9.0;8.0;14.0;7.0;11.0;8.0;7.0;8.0;5.0;10.0;9.0;3.0;;8.0;4.0;3.0;2.0;;37.0;27.0;7.0;12.0;9.0;11.0
2020-03-06;13.0;9.0;11.0;2.0;12.0;6.0;6.0;14.0;6.0;7.0;8.0;8.0;2.0;5.0;1.0;1.0;;4.0;3.0;3.0;4.0;4.0;9.0;5.0
2020-03-07;9.0;6.0;5.0;6.0;4.0;4.0;5.0;11.0;15.0;5.0;8.0;10.0;5.0;7.0;1.0;9.0;5.0;2.0;1.0;5.0;6.0;8.0;5.0;6.0
2020-03-08;7.0;10.0;8.0;6.0;6.0;3.0;3.0;8.0;6.0;7.0;26.0;15.0;8.0;5.0;3.0;;;2.0;4.0;2.0;3.0;2.0;3.0;11.0
2020-03-09;9.0;11.0;12.0;11.0;7.0;9.0;9.0;9.0;5.0;8.0;11.0;15.0;6.0;10.0;3.0;3.0;4.0;1.0;3.0;1.0;2.0;5.0;7.0;8.0
2020-03-10;5.0;8.0;9.0;11.0;5.0;7.0;5.0;7.0;9.0;14.0;12.0;14.0;9.0;5.0;7.0;3.0;3.0;5.0;3.0;2.0;5.0;6.0;8.0;7.0
2020-03-11;16.0;7.0;12.0;5.0;12.0;8.0;14.0;6.0;10.0;14.0;15.0;11.0;6.0;4.0;1.0;3.0;;1.0;1.0;4.0;5.0;5.0;10.0;10.0
2020-03-12;11.0;10.0;9.0;9.0;8.0;14.0;11.0;16.0;11.0;10.0;9.0;15.0;11.0;4.0;5.0;2.0;2.0;2.0;;2.0;3.0;7.0;4.0;5.0
2020-03-13;6.0;9.0;12.0;8.0;9.0;4.0;9.0;12.0;9.0;11.0;14.0;13.0;9.0;6.0;7.0;3.0;;2.0;1.0;2.0;7.0;1.0;6.0;8.0
2020-03-14;14.0;11.0;13.0;7.0;12.0;9.0;6.0;11.0;10.0;13.0;14.0;12.0;7.0;4.0;3.0;2.0;1.0;1.0;3.0;3.0;4.0;3.0;12.0;10.0
2020-03-15;8.0;13.0;6.0;13.0;9.0;7.0;13.0;9.0;18.0;14.0;12.0;32.0;12.0;6.0;6.0;4.0;4.0;3.0;8.0;1.0;1.0;5.0;11.0;6.0
2020-03-16;7.0;4.0;3.0;2.0;4.0;5.0;;11.0;13.0;20.0;15.0;17.0;13.0;8.0;2.0;3.0;2.0;;;;;2.0;;4.0
2020-03-17;3.0;8.0;5.0;8.0;3.0;8.0;5.0;14.0;4.0;3.0;6.0;6.0;15.0;8.0;9.0;5.0;12.0;;9.0;4.0;2.0;6.0;1.0;6.0
2020-03-18;14.0;14.0;15.0;13.0;15.0;13.0;14.0;13.0;19.0;11.0;11.0;23.0;12.0;6.0;4.0;6.0;3.0;3.0;110.0;2.0;5.0;6.0;6.0;10.0
2020-03-19;9.0;15.0;18.0;15.0;14.0;7.0;15.0;13.0;13.0;17.0;23.0;16.0;29.0;14.0;6.0;8.0;2.0;2.0;3.0;4.0;3.0;4.0;7.0;8.0
2020-03-20;15.0;11.0;14.0;12.0;10.0;2.0;8.0;14.0;6.0;8.0;10.0;12.0;13.0;10.0;7.0;1.0;2.0;4.0;7.0;2.0;3.0;6.0;7.0;15.0
2020-03-21;10.0;9.0;5.0;3.0;4.0;3.0;3.0;15.0;18.0;7.0;6.0;3.0;4.0;2.0;1.0;;1.0;;4.0;2.0;3.0;6.0;4.0;14.0
2020-03-22;11.0;11.0;12.0;7.0;12.0;8.0;6.0;11.0;24.0;18.0;13.0;63.0;10.0;4.0;8.0;3.0;4.0;4.0;2.0;2.0;3.0;3.0;6.0;2.0
2020-03-23;5.0;4.0;11.0;3.0;6.0;3.0;9.0;6.0;6.0;5.0;6.0;5.0;7.0;3.0;1.0;4.0;;2.0;2.0;1.0;1.0;19.0;16.0;11.0
2020-03-24;11.0;17.0;10.0;11.0;7.0;2.0;4.0;4.0;5.0;6.0;15.0;23.0;17.0;6.0;3.0;1.0;;2.0;2.0;6.0;5.0;4.0;5.0;4.0
2020-03-25;7.0;15.0;14.0;11.0;16.0;11.0;9.0;17.0;17.0;12.0;4.0;;;2.0;2.0;19.0;7.0;2.0;2.0;6.0;4.0;12.0;16.0;9.0
2020-03-26;10.0;15.0;14.0;12.0;9.0;9.0;3.0;5.0;16.0;9.0;20.0;19.0;13.0;6.0;4.0;2.0;2.0;2.0;;4.0;5.0;9.0;8.0;12.0
2020-03-27;10.0;10.0;7.0;15.0;4.0;4.0;7.0;4.0;14.0;12.0;6.0;7.0;6.0;11.0;7.0;5.0;5.0;;2.0;3.0;3.0;4.0;10.0;11.0
2020-03-28;10.0;18.0;11.0;14.0;8.0;8.0;10.0;19.0;12.0;26.0;28.0;38.0;31.0;13.0;7.0;4.0;6.0;7.0;3.0;5.0;7.0;12.0;17.0;15.0
2020-03-29;10.0;14.0;;8.0;15.0;10.0;12.0;20.0;11.0;23.0;16.0;14.0;11.0;2.0;4.0;4.0;2.0;2.0;6.0;6.0;4.0;6.0;9.0;6.0
2020-03-30;13.0;10.0;16.0;10.0;9.0;10.0;9.0;15.0;17.0;13.0;17.0;11.0;3.0;2.0;;1.0;;5.0;4.0;3.0;19.0;3.0;6.0;3.0
2020-03-31;7.0;9.0;1.0;9.0;8.0;8.0;10.0;10.0;11.0;11.0;8.0;9.0;5.0;2.0;;2.0;2.0;2.0;;2.0;1.0;2.0;3.0;2.0
2020-04-01;5.0;4.0;3.0;3.0;4.0;5.0;6.0;6.0;9.0;6.0;5.0;5.0;10.0;7.0;11.0;5.0;2.0;3.0;4.0;5.0;2.0;4.0;8.0;14.0
2020-04-02;14.0;9.0;16.0;7.0;4.0;8.0;10.0;11.0;13.0;23.0;12.0;19.0;18.0;3.0;1.0;5.0;4.0;2.0;9.0;11.0;6.0;3.0;8.0;8.0
2020-04-03;6.0;13.0;8.0;11.0;5.0;9.0;12.0;14.0;18.0;21.0;20.0;20.0;15.0;10.0;9.0;4.0;1.0;;1.0;6.0;2.0;4.0;8.0;11.0
2020-04-04;10.0;7.0;10.0;7.0;6.0;8.0;7.0;9.0;9.0;13.0;13.0;17.0;7.0;5.0;5.0;2.0;4.0;;;3.0;3.0;6.0;8.0;10.0
2020-04-05;11.0;7.0;13.0;11.0;6.0;14.0;9.0;10.0;19.0;22.0;29.0;7.0;12.0;5.0;;1.0;3.0;;3.0;6.0;3.0;1.0;5.0;8.0
2020-04-06;16.0;10.0;16.0;8.0;6.0;1.0;8.0;3.0;7.0;10.0;23.0;16.0;11.0;7.0;7.0;18.0;14.0;15.0;7.0;7.0;8.0;7.0;2.0;5.0
2020-04-07;9.0;9.0;4.0;9.0;7.0;4.0;9.0;8.0;13.0;7.0;21.0;18.0;7.0;5.0;1.0;8.0;1.0;2.0;;3.0;4.0;4.0;7.0;6.0
2020-04-08;6.0;12.0;9.0;6.0;9.0;8.0;5.0;14.0;15.0;14.0;17.0;14.0;11.0;46.0;17.0;20.0;6.0;7.0;4.0;5.0;4.0;37.0;7.0;16.0
2020-04-09;14.0;20.0;19.0;15.0;5.0;16.0;7.0;19.0;18.0;33.0;27.0;27.0;10.0;11.0;2.0;3.0;5.0;;1.0;2.0;5.0;2.0;4.0;5.0
2020-04-23;20.0;29.0;25.0;27.0;27.0;21.0;24.0;33.0;35.0;31.0;34.0;19.0;13.0;9.0;6.0;11.0;11.0;8.0;8.0;3.0;2.0;10.0;7.0;14.0
2020-04-24;9.0;17.0;17.0;5.0;6.0;18.0;26.0;13.0;23.0;15.0;21.0;7.0;9.0;16.0;;6.0;2.0;2.0;5.0;2.0;;5.0;7.0;5.0
2020-04-25;10.0;13.0;15.0;8.0;13.0;13.0;17.0;17.0;20.0;23.0;19.0;13.0;8.0;5.0;4.0;1.0;4.0;6.0;3.0;3.0;1.0;1.0;5.0;8.0
2020-04-26;12.0;7.0;16.0;6.0;14.0;15.0;24.0;28.0;29.0;30.0;23.0;31.0;5.0;1.0;3.0;2.0;2.0;2.0;1.0;2.0;6.0;6.0;4.0;14.0
2020-04-27;20.0;14.0;8.0;11.0;11.0;10.0;19.0;24.0;34.0;20.0;23.0;11.0;4.0;5.0;4.0;3.0;4.0;4.0;4.0;2.0;1.0;4.0;8.0;10.0
2020-04-28;9.0;4.0;6.0;6.0;12.0;7.0;11.0;23.0;37.0;33.0;25.0;12.0;14.0;14.0;26.0;65.0;50.0;62.0;15.0;35.0;50.0;12.0;11.0;16.0
2020-04-29;21.0;19.0;20.0;13.0;14.0;31.0;20.0;28.0;35.0;26.0;31.0;15.0;10.0;6.0;1.0;2.0;2.0;3.0;2.0;5.0;5.0;8.0;12.0;14.0
2020-04-30;13.0;10.0;22.0;13.0;15.0;11.0;10.0;22.0;33.0;14.0;20.0;18.0;8.0;4.0;;5.0;3.0;1.0;3.0;2.0;7.0;6.0;6.0;15.0
2020-05-01;11.0;15.0;8.0;13.0;16.0;21.0;21.0;23.0;40.0;26.0;24.0;18.0;3.0;6.0;6.0;3.0;3.0;;3.0;4.0;4.0;8.0;10.0;14.0
2020-05-02;13.0;21.0;14.0;19.0;12.0;23.0;26.0;25.0;31.0;31.0;30.0;17.0;11.0;8.0;4.0;4.0;5.0;4.0;4.0;2.0;7.0;8.0;4.0;10.0
2020-05-03;13.0;19.0;7.0;6.0;14.0;18.0;24.0;32.0;39.0;40.0;21.0;22.0;8.0;10.0;9.0;7.0;3.0;2.0;2.0;4.0;8.0;4.0;7.0;12.0
2020-05-04;8.0;13.0;17.0;16.0;10.0;20.0;20.0;37.0;36.0;23.0;22.0;24.0;6.0;10.0;5.0;9.0;3.0;5.0;2.0;5.0;3.0;3.0;11.0;8.0
2020-05-05;14.0;12.0;8.0;19.0;26.0;29.0;26.0;23.0;31.0;25.0;27.0;16.0;8.0;1.0;3.0;5.0;4.0;1.0;1.0;6.0;3.0;7.0;7.0;5.0
2020-05-06;12.0;11.0;11.0;7.0;15.0;28.0;44.0;29.0;42.0;25.0;26.0;16.0;10.0;7.0;3.0;3.0;3.0;7.0;1.0;4.0;5.0;7.0;5.0;11.0
2020-05-07;10.0;7.0;17.0;10.0;14.0;31.0;24.0;34.0;46.0;36.0;13.0;11.0;8.0;6.0;3.0;2.0;2.0;1.0;4.0;11.0;3.0;2.0;3.0;6.0
2020-05-08;11.0;15.0;10.0;13.0;11.0;30.0;28.0;38.0;27.0;21.0;13.0;14.0;10.0;9.0;4.0;4.0;3.0;2.0;1.0;3.0;4.0;5.0;8.0;9.0
2020-05-09;7.0;14.0;8.0;13.0;10.0;15.0;26.0;29.0;30.0;20.0;15.0;16.0;4.0;7.0;4.0;5.0;3.0;2.0;2.0;1.0;3.0;2.0;3.0;4.0
